rank,item
1,미세먼지마스크
2,황사마스크
3,미세먼지마스크kf94
4,게르마늄팔찌
5,차량용공기청정기
6,아이코스
7,전자담배
8,차량용핸드폰거치대
9,다이어리
10,kf94
11,황사마스크kf94
12,빨래건조대
13,마스크
14,식기건조대
15,웰킵스황사마스크kf94
16,샤오미마스크
17,안마기
18,스타벅스텀블러
19,안마의자
20,초미세먼지마스크
21,kf94마스크
22,일회용마스크
23,드론
24,체중계
25,텀블러
26,원피스피규어
27,강아지옷
28,크리넥스황사마스크
29,6공다이어리
30,포트메리온
31,4구계란후라이팬
32,kf80
33,계란후라이팬
34,비데
35,2018다이어리
36,빨래바구니
37,리빙박스
38,수저세트
39,보온도시락
40,cctv
41,g4렉스턴스포츠하드탑
42,스미글필통
43,웰킵스황사마스크
44,미세먼지측정기
45,옷걸이
46,킨더조이꽃다발
47,스터디플래너
48,브라운체온계
49,멀티탭
50,드라이플라워
51,차량용휴대폰거치대
52,냄비세트
53,샤오미차량용공기청정기
54,슬라임재료
55,가정용분리수거함
56,네퓨어황사마스크
57,보드게임
58,족욕기
59,졸업식꽃다발
60,캣타워
61,분리수거함
62,욕실선반
63,건담
64,강아지집
65,아이코스스킨
66,종이컵
67,머그컵
68,차량용방향제
69,금고
70,커플젠가
71,후라이팬
72,워너원굿즈
73,재활용분리수거함
74,디지털피아노
75,수저통
76,질레트면도날
77,강아지계단
78,필통
79,수납정리함
80,전국미세먼지
81,미백치약
82,나트라케어
83,무릎보호대
84,화분
85,매스틱
86,중국건담
87,커피잔
88,소화기
89,양념통
90,퍼실
91,전자담배액상
92,수건
93,피타마스크
94,도마
95,냄비
96,실내공기정화식물
97,수납박스
98,방진마스크
99,러브젠가
100,케이크토퍼
101,손목보호대
102,애니가드kf94
103,kf80마스크
104,차량용스마트폰거치대
105,휴지통
106,덴비
107,음식물쓰레기통
108,커피그라인더
109,욕조
110,독서대
111,다우니
112,코렐
113,틸란드시아
114,치약
115,리스테린
116,해피콜후라이팬
117,윤식당후라이팬
118,에피큐리언도마
119,마리모
120,황사마스크kf80
121,스투키
122,비비탄총
123,보온병
124,그릇세트
125,자동차용품
126,주차번호판
127,체온계
128,테팔후라이팬
129,궐련형전자담배
130,워너원앨범
131,해피콜양면팬
132,뚝배기
133,조화
134,루미큐브
135,코렐10인세트
136,폴란드그릇
137,마이클조던피규어
138,밥상
139,액자테이블
140,와이퍼
141,육공다이어리
142,써모스보온병
143,a4용지
144,쌀통
145,도장
146,차량용충전기
147,전골냄비
148,원피스레진피규어
149,만년필
150,짱구필통
151,커트러리
152,자동차트렁크정리함
153,지압슬리퍼
154,세계지도
155,커피잔세트
156,이사박스
157,게르마늄
158,4구에그팬
159,윤식당계란후라이팬
160,인스
161,전동드릴
162,빌레로이앤보흐
163,다우니섬유유연제
164,비누꽃다발
165,허리보호대
166,철제선반
167,코렐6인세트
168,어항
169,피아노
