rank,item
1,전자담배
2,차량용핸드폰거치대
3,스타벅스텀블러
4,빨래건조대
5,식기건조대
6,치아미백
7,차량용공기청정기
8,코지마안마의자
9,세계지도
10,아이스박스
11,미백치약
12,안마기
13,빨래바구니
14,텀블러
15,공룡풍선옷
16,목안마기
17,캣타워
18,드론
19,화분
20,모기장
21,체중계
22,리빙박스
23,방충망
24,라돈측정기
25,옷걸이
26,차량용방향제
27,차량용휴대폰거치대
28,무릎보호대
29,아이코스
30,안마의자
31,크래프터kgae-27
32,고퍼우드g100
33,고퍼우드i110
34,침대모기장
35,고퍼우드g110
36,재활용분리수거함
37,가정용분리수거함
38,공룡코스튬
39,음식물쓰레기통
40,손목보호대
41,다우니
42,멀티탭
43,눈마사지기
44,비데
45,분리수거함
46,과탄산소다
47,차량용선풍기
48,스타벅스돗자리
49,수저세트
50,욕실선반
51,금고
52,크래프터갓인어스
53,차량용햇빛가리개
54,자동차트렁크정리함
55,전자담배액상
56,원피스피규어
57,지압슬리퍼
58,콜트어스100
59,종이컵
60,질레트면도날
61,수납정리함
62,발마사지기
63,인스랜덤박스
64,자동차용품
65,피크닉매트
66,수저통
67,원터치모기장
68,차량용냉장고
69,포트메리온
70,다이어리
71,후라이팬
72,강아지집
73,아이언맨피규어
74,휴족시간
75,비비탄총
76,크래프터노블
77,정관장지니펫
78,여행토퍼
79,수건
80,치약
81,실내공기정화식물
82,보드게임
83,필통
84,도마
85,차량용충전기
86,인스
87,현관방충문
88,슬라임재료
89,라돈측정기대여
90,브라운체온계
91,다우니섬유유연제
92,수납박스
93,라돈아이
94,휴지통
95,차량용스마트폰거치대
96,디지털피아노
97,차이코스
98,스터디플래너
99,양념통
100,원목캣타워
101,돗자리
102,어항
103,쌀통
104,독서대
105,현관방충망
106,베이킹소다
107,강아지계단
108,어깨안마기
109,슬라임랜덤박스
110,오아어깨마사지기
111,전동드릴
112,발거스본
113,철제선반
114,냄비세트
115,도시락통
116,케이크토퍼
117,차량용청소기
118,공룡탈
119,a4용지
120,더마틱스울트라
121,주차번호판
122,다육이
123,콜트ad810
124,강아지옷
125,고양이화장실
126,비타스틱
127,차량용무선충전거치대
128,샤워기헤드
129,수면안대
130,족욕기
131,스투키
132,욕실화
133,드라이플라워
134,발가락교정기
135,보냉가방
136,예초기
137,인바디체중계
138,매실씨빼기
139,길리슈트
140,공백세탁조클리너
141,라탄바구니
142,다리미판
143,보냉백
144,허리보호대
145,보온도시락
146,건담
147,테팔후라이팬
148,냄비
149,하하슬라임
150,미세방충망
151,접이식카트
152,보쉬전동드릴
153,전기모기채
154,밥상
155,발목보호대
156,멀티탭정리함
157,모기장텐트
158,cctv
159,해피콜후라이팬
160,섬유유연제
161,커피그라인더
162,자동차시트커버
163,퍼실
164,샤워커튼
165,통풍시트
166,전동드라이버
167,블랙핑크앨범
168,차량햇빛가리개
169,아이언맨슈트
170,양키캔들차량용방향제
171,세면대
172,궐련형전자담배
173,스칸디아모스
174,암웨이치약
175,자동차통풍시트
176,전자피아노
177,전자저울
178,리스테린
179,2019수능완성
180,스타벅스콜드컵
181,스텐텀블러
182,그루트
183,칫솔
184,두루마리휴지
185,바지걸이
186,그릇세트
187,머그컵
188,팔꿈치보호대
189,게르마늄팔찌
190,바디프랜드안마의자
191,조화
192,코렐
193,몬스테라
194,에어컨청소
195,맥스포스셀렉트겔
196,이사박스
197,강아지하네스
198,루미큐브
199,트렁크정리함
200,콜맨아이스박스
201,저스트포그
202,화장실리모델링
203,어깨교정밴드
204,듀오덤
205,강아지울타리
206,셀프세차용품
207,샤오미체중계
208,욕실리모델링
209,워너원앨범
210,홈매트
211,거북목교정기
212,쓰레기통
213,고기불판
214,세븐라이너
215,야채다지기
216,소주잔
217,주방선반
218,유리컵
219,차량용컵홀더
220,사각모기장
221,체온계
222,욕실수납장
223,비치타올
224,토분
225,하수구트랩
226,일본동전파스
227,차량용품
228,화장지
229,욕실장
230,자외선차단마스크
231,쿨러백
232,소화기
233,차량방향제
234,인쇄소스티커
235,맥주잔
236,아기모기장
237,차량용거치대
238,휴지
239,보온병
240,마사지볼
241,피아노
242,원피스레진피규어
243,고양이사료
244,초보운전스티커
245,인피니티건틀렛
246,글라스락이유식용기
247,주루마블
248,사다리
249,야마하p115
250,얼음트레이
251,물병
252,글라스락
