rank,item
1,스타벅스텀블러
2,차량용핸드폰거치대
3,텀블러
4,전자담배
5,식기건조대
6,빨래건조대
7,아이스박스
8,코지마안마의자
9,체중계
10,치아미백
11,빨래바구니
12,예초기
13,차량용방향제
14,차량용무선충전거치대
15,캣타워
16,미백치약
17,안마기
18,과탄산소다
19,스텐텀블러
20,드론
21,차량용휴대폰거치대
22,분리수거함
23,차량용공기청정기
24,안마의자
25,차량용햇빛가리개
26,음식물쓰레기통
27,리빙박스
28,옷걸이
29,수저세트
30,지압슬리퍼
31,보드게임
32,슬라임랜덤박스
33,비데
34,해피슬라임
35,멀티탭
36,통기타
37,화분
38,무릎보호대
39,금고
40,태극기
41,가정용분리수거함
42,수저통
43,질레트면도날
44,재활용분리수거함
45,강아지계단
46,다우니
47,스탠리텀블러
48,다이어리
49,차량용충전기
50,슬라임재료
51,손목보호대
52,욕실선반
53,타이거무선예초기
54,양념통
55,강아지집
56,자동차트렁크정리함
57,닥터독
58,지니펫
59,발마사지기
60,냄비세트
61,차량용소화기
62,야채다지기
63,치약
64,자동차용품
65,원피스피규어
66,수납정리함
67,브라운체온계
68,후라이팬
69,포트메리온
70,건담
71,기타
72,차량햇빛가리개
73,종이컵
74,도마
75,여행토퍼
76,전자담배액상
77,비비탄총
78,아이코스
79,스터디플래너
80,휴지통
81,다우니섬유유연제
82,보온도시락
83,샤워기헤드
84,소화기
85,테팔후라이팬
86,스타벅스콜드컵
87,차량용스마트폰거치대
88,수건
89,필통
90,쌀통
91,주차번호판
92,밥상
93,디지털피아노
94,보냉가방
95,베이킹소다
96,섬유유연제
97,정관장지니펫
98,발가락교정기
99,어항
100,냄비
101,인바디체중계
102,아이언맨피규어
103,휴족시간
104,욕실화
105,머그컵
106,생리대
107,양키캔들차량용방향제
108,최화정보온병
109,철제선반
110,독서대
111,그릇세트
112,더마틱스울트라
113,차량용냉장고
114,코렐
115,커피그라인더
116,퍼실
117,차량용품
118,카구팔
119,루미큐브
