rank,item
1,스타벅스텀블러
2,차량용핸드폰거치대
3,전자담배
4,텀블러
5,할로윈의상
6,빨래건조대
7,식기건조대
8,강아지옷
9,보온도시락
10,차량용공기청정기
11,차량용무선충전거치대
12,옷걸이
13,할로윈코스튬
14,브라운체온계
15,차량용방향제
16,리빙박스
17,빨래바구니
18,안마의자
19,코지마안마의자
20,캣타워
21,다이어리
22,단열뽁뽁이
23,체중계
24,안마기
25,무릎보호대
26,드론
27,금고
28,보온병
29,비데
30,강아지집
31,다우니
32,방풍비닐
33,족욕기
34,수저세트
35,차량용휴대폰거치대
36,멀티탭
37,2019다이어리
38,수납정리함
39,강아지계단
40,분리수거함
41,써모스보온병
42,머그컵
43,욕실선반
44,6공다이어리
45,화분
46,닥터독
47,포트메리온
48,베놈피규어
49,차량용목쿠션
50,차이코스
51,음식물쓰레기통
52,원피스피규어
53,발마사지기
54,강아지패딩
55,차량용태블릿거치대
56,질레트면도날
57,써모스보온도시락
58,보드게임
59,선풍기커버
60,자동차트렁크정리함
61,손목보호대
62,수저통
63,스텐텀블러
64,두루마리휴지
65,건담
66,치아미백
67,해피슬라임
68,쓰레기통
69,a4용지
70,샤워가운
71,양념통
72,슬라임랜덤박스
73,차량용충전기
74,철제선반
75,디지털피아노
76,길리슈트
77,전자담배액상
78,아이코스
79,냄비세트
80,다우니섬유유연제
81,할로윈코스프레
82,어깨안마기
83,수납박스
84,클럭미니마사지기
85,후라이팬
86,종이컵
87,리스테린
88,재활용분리수거함
89,욕조
90,치약
91,여행토퍼
92,가정용분리수거함
93,강아지후리스
94,슬라임재료
95,스타벅스머그컵
96,자동차용품
97,도시락통
98,찜질팩
99,독서대
100,도마
101,인스랜덤박스
102,바지걸이
103,안마용품
104,비비탄총
105,스터디플래너
106,라끄시안치약
107,궐련형전자담배
108,케이크토퍼
109,커피그라인더
110,고양이화장실
111,아이스박스
112,고양이사료
113,차량용청소기
114,작업복
115,과탄산소다
116,섬유유연제
