rank,item
1,스타벅스텀블러
2,차량용핸드폰거치대
3,텀블러
4,전자담배
5,식기건조대
6,빨래건조대
7,안마기
8,차량용무선충전거치대
9,예초기
10,코지마안마의자
11,치아미백
12,체중계
13,캣타워
14,빨래바구니
15,미백치약
16,차량용공기청정기
17,차량용방향제
18,방탄소년단앨범
19,아이스박스
20,드론
21,타이거무선예초기
22,차량용휴대폰거치대
23,금고
24,해피슬라임
25,안마의자
26,스텐텀블러
27,음식물쓰레기통
28,기타
29,리빙박스
30,옷걸이
31,분리수거함
32,어깨안마기
33,무릎보호대
34,비데
35,통기타
36,강아지집
37,보드게임
38,슬라임랜덤박스
39,욕실선반
40,수저세트
41,지압슬리퍼
42,손목보호대
43,멀티탭
44,우리나라지도보기
45,차량용충전기
46,다이어리
47,슬라임재료
48,화분
49,포트메리온
50,강아지계단
51,보온도시락
52,질레트면도날
53,냄비세트
54,재활용분리수거함
55,자동차트렁크정리함
56,후라이팬
57,다우니
58,발마사지기
59,과탄산소다
60,수저통
61,치약
62,수납정리함
63,닥터독
64,종이컵
65,와이퍼
66,건담
67,목안마기
68,가정용분리수거함
69,지니펫
70,브라운체온계
71,아이코스
72,차량용스마트폰거치대
73,전자담배액상
74,방탄앨범
75,자동차용품
76,양념통
77,원피스피규어
78,클럭미니마사지기
79,도마
80,디지털피아노
81,스탠리텀블러
82,머그컵
83,주차번호판
84,수건
85,쌀통
86,그릇세트
87,샤워기헤드
88,필통
89,인바디체중계
90,다우니섬유유연제
91,비비탄총
92,스터디플래너
93,욕실화
94,테팔후라이팬
95,a4용지
96,레몬착즙기
97,밥상
98,정관장지니펫
99,독서대
100,저주파마사지기
101,생리대
102,아이언맨피규어
103,커피그라인더
104,코렐
105,포켓몬스노우볼
106,여행토퍼
107,냄비
108,암웨이치약
109,휴지통
110,휴족시간
111,차량용목쿠션
112,철제선반
113,두루마리휴지
114,6공다이어리
115,고퍼우드i100
116,차량용품
117,스타벅스콜드컵
118,수납박스
