rank,keyword,npscore
1,사진,189
2,자동차,309
3,책,117
4,머니,120
5,로봇,495
6,아동,481
7,풀,317
8,앨범,1096
9,커피,496
10,그림,157
11,카페,245
12,의약품,51
13,솔루션,503
14,화장품,361
15,트리,83
16,농산물,226
17,충전,202
18,밥,140
19,솔,269
20,마트,129
21,조명,174
22,소프트웨어,185
23,베스트,166
25,엔진,381
24,자전거,199
26,배터리,184
27,드론,248
28,와인,339
29,컴퓨터,34
30,보관,82
31,맥주,351
32,식물,186
33,마켓,278
34,창,37
35,향,114
36,먹거리,216
37,블록,32
38,허브,139
39,음료,137
40,케이스,264
41,비디오,172
42,원료,80
43,조화,285
44,문화재,191
45,신약,240
46,양식,24
47,쇼핑몰,113
48,빵,148
49,신차,122
50,치료제,72
51,톱,89
52,수산물,235
53,컵,37
55,돌,72
54,자사,68
56,아카데미,193
57,치킨,216
58,소프트,90
59,센서,102
60,시계,129
61,주류,79
62,시멘트,51
63,사료,154
64,고기,54
65,시트,74
66,스피커,149
67,도서,108
68,약식,80
69,소스,103
70,냉장고,175
71,신곡,218
72,우산,83
73,폰,22
74,백신,92
75,타이어,58
76,케이블,43
77,레스토랑,134
78,반찬,158
79,교복,26
80,세단,141
81,컴퍼니,121
82,에어컨,99
83,섬유,70
85,농약,40
84,단백질,10
86,발판,93
87,햄버거,50
88,원단,26
89,필름,32
90,연,26
92,소주,121
91,피아노,119
93,도시락,78
94,비타민,104
95,장난감,103
96,티셔츠,147
97,자재,27
98,크림,128
99,흙,14
100,헬기,24
101,공구,27
102,안경,30
104,모터,95
103,표지,89
105,펜,106
106,필터,65
107,라면,111
108,모래,50
109,릴레이,118
110,코어,34
111,치즈,97
113,수영복,47
112,씨앗,76
114,책상,41
115,선풍기,84
116,잡지,18
117,간식,99
118,코트,46
119,악기,101
120,모니터,59
121,머신,104
122,로고,109
123,실크,102
124,단말기,3
125,술집,25
126,이스트,44
128,네트,51
129,밥상,61
127,샵,75
130,한식,97
131,교재,30
132,냉면,3
133,캐피탈,20
134,둥지,63
135,스킨,58
136,소비재,64
137,샐러드,91
138,잎,15
139,캔,80
140,플레이어,78
142,목재,14
141,설탕,2
145,드레스,74
144,셔츠,68
143,치약,124
147,김치,70
146,아이스크림,101
149,디저트,113
148,분수,71
150,인형,69
151,피자,80
152,농기계,10
155,서예,87
153,잔,58
154,휠,119
157,렌트카,43
156,음반,55
159,항암제,30
158,화분,33
160,그릴,100
161,한복,93
162,휠체어,2
164,모형,52
163,스티커,51
168,가전제품,73
166,위스키,3
167,전광판,26
165,컨디션,13
169,청소기,78
170,페인트,63
174,노트,18
176,매직,50
173,베이스,50
171,스틱,92
175,케이크,34
172,파이,20
177,병동,18
178,중식,121
179,디바이스,51
181,소품,69
180,트로피,78
184,도어,43
182,매트,35
183,향수,63
185,과자,58
186,떡,39
187,정수기,23
188,카트,37
189,껌,29
190,쿠션,72
192,다이오드,33
191,오일,28
193,패드,58
194,마사지,80
195,노트북,19
197,만두,83
196,소금,25
199,기념품,82
198,안주,33
200,남방,76
201,잼,30
202,레이스,27
203,양념,56
206,메달,64
204,어묵,52
205,여행사,38
207,원피스,76
208,리무진,9
209,아메리카노,85
210,케이프,20
211,돼지고기,32
213,상품권,30
212,캠핑카,83
214,램프,62
216,베드,66
215,유모차,82
217,징,39
218,세탁기,47
220,바이올린,80
219,삼겹살,12
221,불상,45
