rank,keyword,npscore
1,사진,1880
2,펀드,37
3,로봇,630
4,머니,102
5,수도,9
6,풀,506
7,앨범,1604
8,스마트폰,100
9,화장품,724
10,미세먼지,152
11,카메라,244
12,지도,251
13,의약품,223
14,맥주,707
15,그림,231
16,카페,318
17,커피,532
18,솔루션,353
19,드론,164
20,베스트,396
21,밥,203
22,비디오,103
23,배터리,264
24,마켓,343
25,조명,415
26,충전,240
27,먹거리,461
28,음료,259
29,농산물,366
30,소프트웨어,222
31,타이어,57
32,엔진,110
33,솔,384
34,쇼핑몰,143
35,양산,77
36,박스,52
38,문화재,146
37,조화,337
39,케이스,343
40,블록,224
41,신곡,522
42,아카데미,332
43,혼,32
44,센서,133
45,향,360
46,자사,129
47,섬유,80
48,창,104
49,폰,99
50,신약,93
51,노트,87
52,와인,407
53,빵,240
54,식물,126
55,도서,56
56,통신사,16
57,테이블,20
58,허브,261
59,시멘트,102
60,소프트,128
61,전지,117
63,양식,229
62,포스터,169
64,원료,111
65,목재,5
66,마스크,107
67,시트,125
68,무선,140
69,주류,43
70,치킨,130
71,냉장고,91
72,우유,110
73,비타민,140
74,김치,82
75,단백질,24
76,발판,106
77,펜,199
78,컴퍼니,119
79,용지,80
80,네트,213
81,이스트,41
82,연,38
83,상자,76
84,원단,61
85,레스토랑,99
86,필터,87
87,소스,156
89,샵,226
88,인형,158
90,농약,37
91,크림,114
93,벨트,109
92,스피커,153
94,메모리,59
95,사료,16
96,선풍기,80
97,도시락,79
99,간식,149
98,휠체어,58
100,렌즈,71
101,노트북,32
102,치즈,196
104,텐트,93
103,피아노,167
105,모니터,32
106,캐피탈,115
107,향수,117
108,티셔츠,148
109,클리닉,171
110,약식,99
111,아이스크림,120
112,안경,67
113,캔,124
114,가전제품,55
115,반찬,105
116,드레스,138
117,음반,146
118,오일,55
119,모자,26
122,과자,63
121,수산물,84
120,코어,91
123,그릇,30
124,필름,127
125,흙,36
126,매직,141
127,베이스,93
128,보드,51
129,정수기,10
130,얼음,53
131,모형,67
132,카트,70
133,태극기,71
134,메달,123
135,젤리,186
136,펀치,102
138,소주,102
137,잎,12
140,매트,43
139,바지,6
141,머신,104
142,안주,54
143,먹이,15
144,벤,13
145,디바이스,28
146,징,42
147,스프,69
148,한식,105
149,홍삼,157
150,마사지,52
151,적금,4
152,청소기,90
153,코트,95
154,상단,22
156,모터,91
155,베드,76
157,각도,21
158,남방,38
159,잡지,30
160,기념품,91
161,세탁기,58
162,제습기,55
163,피자,96
164,생선,9
165,로고,26
166,씨앗,24
167,원두,152
168,삼계탕,117
169,둥지,32
170,디저트,107
171,선글라스,31
172,악기,101
173,쿠션,57
177,슈트,110
174,식탁,12
175,잔,10
176,케이프,86
178,문단,5
179,라면,8
180,액세서리,103
182,모래,76
181,샐러드,70
183,시제품,80
184,셔츠,64
185,실리콘,58
186,사리,26
187,엘리베이터,31
189,장난감,28
188,팩스,20
190,보청기,107
191,보트,1
192,다이오드,20
193,양념,94
195,레인지,91
194,밥상,65
196,꽃다발,16
201,릴레이,71
198,상품권,83
200,원재료,46
199,잡화,83
197,플레이어,30
202,감사패,118
203,오디오,66
205,소금,41
204,태블릿,3
206,샌드위치,79
208,원피스,97
207,잼,70
210,레이스,71
209,상표,23
211,어벤져스,8
212,재킷,25
214,떡,60
213,머드,115
215,초콜릿,50
217,주스,62
216,패드,54
220,베개,6
218,수영복,80
219,트로피,20
221,스킨,66
222,분유,42
224,글라스,37
223,프린터,58
225,매거진,96
227,부츠,7
226,에어,6
228,비빔밥,86
229,햄,30
232,농기계,73
230,소품,81
231,정장,40
233,발전기,19
236,돼지고기,19
235,막걸리,61
237,설탕,23
234,스위치,51
238,견과,38
239,블라인드,21
240,책자,15
241,배낭,57
242,재활용품,11
243,보일러,2
244,매대,3
245,쿠키,42
246,포크,8
248,연료전지,46
247,항암제,12
250,스틱,40
249,침구,55
251,선철,11
252,실크,67
253,물총,99
256,교재,14
255,유모차,47
254,축산물,13
257,타일,60
260,클렌징,63
258,튜브,68
259,한복,55
261,지지대,41
263,공예품,58
262,분수,46
264,위스키,18
268,냉면,38
265,소고기,34
270,연사,24
267,연습장,28
271,육수,74
266,캐리어,60
269,후드,29
272,세단,39
273,식빵,91
274,도어,68
276,곡물,23
277,밑반찬,71
275,베이커리,79
278,장구,16
279,바이올린,63
280,어묵,55
281,육류,8
282,병풍,84
283,견인차,13
284,리뉴,62
285,아쿠아,42
287,닭고기,43
289,렌트카,63
286,안테나,45
290,오븐,32
288,케이크,7
292,가이드북,32
293,소시지,35
291,스케치,12
294,사은품,50
295,칸막이,1
296,간장,42
298,로켓,3
299,이유식,63
297,전문지,18
301,양봉,2
300,영양제,12
302,전자레인지,63
303,다이스,9
304,스테이크,68
308,가야금,73
307,빙수,79
305,사지,24
306,스킨케어,69
310,두부,26
309,키보드,28
311,사다리,9
313,여행기,45
312,축구공,15
315,비어,11
314,석류,25
317,신상품,24
316,팬츠,75
321,그림책,48
320,스캐너,28
318,식초,6
319,프로야구,5
323,물티슈,29
325,비행선,5
324,샌들,34
322,잉크,3
328,고추장,42
326,브라,50
327,스낵,40
330,생리대,15
329,퍼즐,25
331,반지,6
332,스탠드,43
338,벽지,15
337,블레이저,45
335,서예,23
336,필러,37
334,항아리,43
333,휠,49
339,드럼,28
340,전광판,19
344,리본,26
341,솜,11
343,접시,28
342,프로젝터,60
345,내비게이션,37
346,볶음밥,47
350,볼트,21
348,사단법인,35
347,원당,30
349,자판기,31
351,불고기,55
352,세우,7
353,쌈,37
354,인버터,21
355,삼겹살,38
356,페달,12
357,활,13
365,감지기,4
367,떡볶이,23
363,망원경,41
368,매화,41
364,물감,23
358,밀가루,27
366,봉지,18
359,전기레인지,43
360,캔버스,25
361,해산물,14
362,햄버거,17
370,데스크,34
369,붓,16
371,팔찌,27
372,이어폰,40
374,창호,22
375,초코,45
376,카시트,1
373,항모,11
378,버거,13
377,중식,39
380,티비,14
379,헤드셋,38
381,그릴,45
386,니트,5
382,스파이더,33
383,스폰서,15
385,제과,34
384,파우더,11
391,라떼,40
387,면도,18
393,명함,24
388,수프,34
394,야쿠르트,30
392,인큐베이터,48
389,젤,5
390,타로,4
397,교구,21
399,버터,39
396,서커스,38
395,튀김,39
398,화장지,23
405,기어,8
404,본방,18
403,스탬프,42
401,스프레이,4
400,장바구니,13
406,치약,10
402,카레,48
413,서바이벌,10
412,소총,3
407,스푼,41
414,아메리카노,51
408,액자,36
409,에세이,14
410,컴프레서,35
411,파스타,35
419,베어링,3
418,블라우스,8
416,스컬,33
415,슬립,42
417,콘솔,28
424,도자기,42
423,슈즈,45
422,야식,27
420,첼로,45
421,칵테일,41
430,롤러코스터,16
425,머그,1
428,목걸이,18
431,반바지,3
426,색소폰,31
427,옷장,2
429,캔디,26
434,슬리퍼,19
433,에스프레소,39
432,포켓,27
436,냄비,26
435,리모컨,26
437,아로마,24
438,축구단,20
439,과육,37
444,비단,15
441,비키니,19
443,식기,11
442,안경테,25
440,워커,11
446,바이크,20
447,캠핑카,46
445,플래카드,4
450,낙지,37
449,모종,1
452,밥솥,33
448,수트,43
453,순대,29
451,엽서,27
462,가발,18
454,갈비,28
458,만두,32
460,변속기,6
461,상패,18
459,스포츠카,18
456,코스터,38
455,플래너,31
457,핸드백,20
464,브런치,39
463,휴즈,23
465,고춧가루,20
466,넥타이,13
473,리프팅,2
472,양말,16
467,요트,36
469,지폐,4
468,치맥,20
474,캡슐,5
470,파운데이션,27
471,홍차,30
479,가속기,37
477,수채화,28
478,우의,10
475,클립,5
476,후추,12
481,법복,32
480,파전,4
485,라이스,23
484,베스,17
486,브레드,25
483,샌드,29
482,파라솔,17
487,금속관,1
490,아크릴,22
488,요람,19
489,음극,4
491,채찍,6
495,가슴살,27
493,김밥,11
496,미역국,15
498,백숙,37
497,소식지,14
492,짬뽕,35
494,참기름,16
504,된장,6
502,로션,1
505,메가폰,24
501,바게트,33
500,발톱,14
503,벌집,4
506,아이스티,38
499,포신,22
516,대창,12
508,라멘,23
509,먹을거리,25
515,송진,21
514,수경,28
511,수저,5
517,연단,10
513,줄넘기,31
512,짜장면,17
518,키오스,14
510,페리,21
507,헤드폰,34
523,돈가스,28
524,마감재,6
521,사발,18
519,숯,4
522,요구르트,20
525,칼라,12
520,콘도,22
531,구슬,1
528,선크림,5
530,스커트,30
527,자석,1
529,타이머,21
526,트랙터,23
533,귀걸이,14
534,떡갈비,34
535,라이온,32
542,롤러,23
539,베이컨,16
541,보리밥,2
544,블럭,4
540,비데,30
532,생맥주,12
537,수확기,20
538,여성복,18
543,토이,4
536,파스텔,28
545,풍차,30
549,동관,14
546,소방정,8
550,쌈밥,29
547,에센스,17
551,주먹밥,8
548,하의,7
553,가운,2
552,나침반,2
561,문제집,4
559,발명품,20
556,샘물,18
560,연필,6
564,웨이퍼,8
554,잠금장치,8
563,장석,11
558,집게,4
562,커튼,4
555,플러그,15
557,화구,10
569,모시,21
567,보드게임,25
565,소바,27
568,양초,19
571,저금통,11
566,전자책,7
570,중국집,1
577,깻잎,24
573,달력,4
572,도우,6
578,리벳,24
580,물회,30
579,보닛,2
582,솥,18
574,스콘,15
576,탕수육,12
581,토너,26
575,플루트,18
588,강철,3
589,게임기,11
585,등심,17
583,양념장,19
587,클레이,5
586,팬티,7
584,호른,25
599,게장,14
594,구명조끼,3
595,된장찌개,12
590,로밍,12
591,시럽,14
596,쌀국수,18
600,올인원,16
601,잡채,20
592,쫄면,26
597,초밥,6
598,카약,16
593,프라이팬,10
612,경운기,27
606,계량기,5
609,닭강정,9
603,방향제,17
613,설렁탕,1
605,스케치북,15
602,아이라이너,17
611,일기장,5
604,초대장,21
608,추어탕,22
607,칼국수,23
610,판화,21
617,막국수,26
618,비소,3
620,스니커즈,22
616,식혜,22
619,조끼,6
614,중화요리,22
615,프리즘,18
629,광섬유,25
621,레드와인,21
632,마차,5
630,보온,7
623,불닭,21
634,블러,3
625,손수레,5
624,수육,19
622,스카프,13
626,액화석유가스,3
631,약주,9
633,침구류,5
627,통기타,18
628,한약재,15
645,가스레인지,14
636,고무신,18
638,남성복,22
637,도너츠,16
639,부자재,2
635,서스펜션,18
641,손수건,6
643,스펀지,12
642,신발장,11
644,오카리나,23
640,우지,16
653,거문고,9
654,닭볶음탕,7
650,뗏목,1
651,시관,2
648,아이스커피,15
655,어버이날,7
646,육포,23
647,자켓,19
652,포터,5
649,합성수지,3
656,곶감,2
665,다이어리,14
658,단행본,4
669,배너,7
661,보쌈,22
662,브러시,8
666,샴페인,8
657,선인장,10
663,스무디,18
659,우동,2
668,유리병,6
664,젓갈,12
667,책장,12
660,허들,15
682,곰탕,13
671,담요,5
684,보드카,21
678,사보,9
680,세이버,13
681,우쿨렐레,18
677,운동복,13
670,자동변속기,17
672,장류,12
676,청첩장,9
679,칩셋,7
675,콘센트,11
673,포도주,5
674,플라스마,3
683,향신료,17
702,계산기,2
690,닭갈비,16
701,도료,8
703,동화책,16
695,물걸레,20
707,밀크티,16
699,받침,14
688,보리차,16
691,분무기,8
697,비지,14
686,살코기,8
692,시리얼,14
685,썰매,10
694,앵글,3
705,웨딩드레스,4
698,장아찌,10
693,점퍼,14
706,찻잔,4
687,컨버터,1
704,틴트,16
696,패딩,6
700,페퍼,20
689,하모니카,8
709,갈비찜,13
717,감자튀김,5
719,고명,3
713,국밥,11
718,래틀,19
721,바이스,13
722,방부제,3
711,새장,7
716,생크림,3
714,수족관,1
712,아이언맨,1
720,윤활유,5
715,인조잔디,7
710,치즈케이크,7
708,팝콘,15
727,공유기,6
725,등불,11
726,멀티탭,9
724,미트볼,16
728,석등,8
730,순금,8
729,컨트롤러,8
723,턱시도,10
749,거치대,5
734,드릴,1
744,레일바이크,9
751,명패,2
735,무스,9
738,버너,15
737,생감자,17
741,섀도우,15
748,스파이더맨,11
733,시험관,3
732,아몬드,1
731,앞치마,7
747,여과지,5
740,요요,6
746,젖병,15
736,주물,3
745,커넥터,1
739,폴라로이드,13
742,프라이,5
743,핫바,5
750,해금,9
767,거북선,10
770,꼬치,6
754,누에고치,12
763,돋보기,7
768,레깅스,12
757,면기,6
761,목살,12
758,방석,6
759,설문지,5
769,셔벗,15
752,에스컬레이터,4
766,육개장,12
760,장갑차,8
762,코스튬,10
753,타악기,10
756,팥빙수,16
764,피클,12
755,헤드라이트,12
765,확대경,12
771,간행물,7
793,개집,3
784,고동,13
780,공책,3
791,기포,5
792,단소,2
772,드레싱,9
783,모터보트,4
786,물통,3
782,사포,5
781,석고,9
778,식기세척기,10
790,아코디언,5
787,애저,13
776,열선,5
773,예인선,3
788,왁스,11
777,우화,5
775,치실,1
789,칠판,9
774,클러치,11
785,핫도그,9
779,해우,7
806,건전지,2
813,냉동기,6
814,도넛,8
802,뚝배기,6
799,면대,2
808,밀면,12
807,배전반,6
796,아이스박스,14
798,엔진오일,4
797,오덴세,14
812,와사비,4
801,원석,10
809,장식품,6
811,저고리,4
815,정경기,2
800,찌개,10
795,타코,2
805,토스트,12
810,합금,5
803,해치백,4
804,호이스트,13
794,화장대,12
822,관목,13
820,구관,3
823,김치냉장고,9
825,두유,9
818,만화책,11
828,매운탕,7
835,벌꿀,13
826,솔트,7
834,스키니,9
816,심볼,7
819,압력솥,13
817,열쇠고리,3
824,올리브유,11
832,위내시경,2
831,유장,5
827,중형차,5
833,콩국수,11
829,타월,5
821,통닭,7
830,화투,5
838,골뱅이,12
858,들기름,6
852,마카롱,4
857,머리띠,10
839,병맥주,12
844,분식집,8
855,분재,8
856,비니,1
847,비올라,10
837,새우튀김,10
851,샤워기,8
840,쌀밥,6
850,오리고기,8
845,월간지,6
853,인절미,12
854,조약돌,4
836,종이접기,10
843,지르코늄,2
842,찐빵,4
849,카푸치노,10
846,타자기,12
841,폰초,12
848,현악기,2
873,구연산,3
869,기차표,3
860,다트,1
884,돌베개,5
872,룰렛,7
879,마그넷,11
871,명찰,3
868,모르타르,11
863,목탄,3
864,미니밴,5
874,배기,5
861,색연필,3
859,쇼핑백,9
875,수지침,1
862,시약,1
878,식용유,5
881,염료,7
870,카디건,11
865,커터,3
883,케이지,7
866,코르크,7
882,크림치즈,11
877,클라리넷,11
876,티라미수,5
880,파카,1
867,폭죽,7
890,모빌,4
900,사찰음식,10
898,삼합,4
892,새우젓,6
893,소켓,4
895,술안주,6
903,쉐이크,10
887,슬랙스,10
888,아이섀도,10
899,옷걸이,8
894,유량계,6
902,장롱,2
885,재봉틀,2
896,튜바,10
889,트랜지스터,4
901,팬시,10
886,팽이,10
891,포차,6
897,후라이팬,8
918,가계부,1
911,갈릭,7
908,건담,9
930,고등어구이,7
931,고로케,7
907,내복,5
910,너트,7
909,농기구,5
929,닭발,3
915,마스카라,7
920,마우스패드,9
906,마이크로미터,5
917,배트,5
905,샤브샤브,9
923,수세미,1
925,안료,5
914,양고기,1
933,언더웨어,3
922,영상관,3
926,오실로스코프,9
928,오이소박이,9
912,오이지,3
913,욕조,7
932,증류기,9
916,증류주,7
927,탑스,9
904,테이핑,1
921,통조림,5
924,포장마차,1
919,홍국,9
953,고무나무,4
949,군고구마,8
937,닭다리,6
950,루터,4
938,면직물,2
943,모뎀,4
951,밀리터리,8
947,부침개,8
952,부케,6
939,사케,6
946,샌디,8
934,셀룰로오스,8
956,솜사탕,6
936,스테인,6
959,쌈장,8
942,안약,2
954,잔치국수,6
961,주강,4
945,케익,6
948,탈취제,2
944,터치패드,8
957,트럼펫,8
935,판넬,6
940,포토북,8
958,폴로셔츠,8
941,풍등,6
960,향로,4
955,화병,5
986,규석,5
965,낙지볶음,7
989,돋보기안경,2
979,떡국,5
974,린스,3
975,몽키,7
970,미들웨어,7
992,바닷가재,7
985,비치백,5
991,빈대떡,1
988,사진첩,5
963,생화,1
969,생황,7
987,세면기,7
976,세척기,5
981,셀룰러,7
966,소나,1
968,수제비,7
983,와이셔츠,3
971,원반,7
982,의족,5
978,증명사진,1
973,지압,5
967,진공청소기,5
972,칠리소스,7
980,캘린더,5
964,커리,1
962,타파스,3
990,파자마,7
977,팥죽,3
984,형광등,7
997,가디건,6
998,갈치조림,4
994,관악기,4
993,광천수,4
1019,군만두,2
1003,귀마개,6
1004,누들,6
996,단무지,2
1021,더치커피,6
1013,란제리,6
1014,면도기,2
1011,미터기,4
999,방탄조끼,2
1002,베레모,4
1024,복분자주,6
1012,브로마이드,6
1006,비취,2
1010,비타민제,2
1016,산호수,2
1017,소갈비,6
1022,소주잔,2
1000,순두부,4
1015,아구찜,6
1023,예초기,2
1001,오트밀,6
1008,일반의약품,4
1020,카라멜,4
1007,카세트,4
995,캐러멜,2
1009,코크스,6
1005,클리너,2
1018,통깨,2
1076,감자칩,1
1026,광학계,5
1069,기도서,5
1029,김치볶음밥,3
1070,네비,3
1057,단고,3
1054,도토리묵,1
1036,돌솥,1
1048,등산화,1
1041,떡메,5
1033,라켓,5
1038,마카,3
1040,마파두부,5
1028,매스틱,5
1056,맨투맨,1
1061,머핀,3
1044,먹물,5
1046,백김치,5
1047,버저,1
1068,버클,3
1049,브리프,3
1043,비비,1
1053,사무기기,1
1027,사암,5
1039,사진기,1
1051,사향,1
1079,숄더백,3
1050,수동변속기,3
1067,스티치,1
1035,악세사리,1
1059,양념치킨,5
1045,연필꽂이,1
1060,유칼립투스,5
1052,자수기,5
1063,재단기,2
1073,쟁기,3
1066,조경수,3
1077,주사침,1
1065,즉석카메라,5
1081,증폭기,5
1072,지르콘,5
1034,찬장,1
1037,찹쌀떡,1
