rank,keyword,npscore
1,사진,1635
2,책,1742
3,앨범,2419
4,수도,420
5,사이트,411
6,머니,357
7,본방,21
8,술,762
9,로봇,709
10,카드,139
11,비디오,1166
12,먹물,1308
13,그림,644
14,핀,484
15,지폐,1077
16,지도,123
17,해산물,963
18,풀,201
19,커피,152
20,도서,23
21,실,44
22,미세먼지,211
23,냉장고,630
24,맥주,221
25,용지,260
26,부품,16
27,술집,526
28,카페,268
29,원료,436
30,학원,13
31,음료,247
32,트리,73
33,케이블,346
34,안주,524
35,신곡,464
36,조명,287
37,솔루션,236
38,샵,392
39,와인,209
40,먹거리,236
41,농산물,137
42,테이블,1
43,양산,61
44,창,106
45,드론,120
46,소프트웨어,23
47,충전,55
48,씨앗,204
49,아카데미,152
50,벽지,328
51,토이,341
52,베스트,91
53,고기,125
54,쇼핑몰,128
55,치료제,7
56,조화,197
57,펠리스,312
58,발판,110
59,치킨,141
60,태블릿,39
61,자사,49
62,향,163
63,무선,17
64,루즈,42
65,티셔츠,153
66,벨트,46
67,스피커,47
68,빵,117
70,소프트,102
69,에어컨,19
71,우유,97
72,허브,103
73,교복,15
74,시트,26
75,시설물,2
76,혼,2
77,선풍기,10
78,펜션,162
81,문화재,56
80,비단,203
79,소스,162
82,버거,106
83,센서,39
84,타이어,138
85,시계,72
86,술안주,195
87,햄버거,69
88,인형,137
89,아이스크림,157
91,김치,87
90,신약,95
92,컴퍼니,94
93,교과서,32
94,오디오,89
95,연,32
97,단백질,8
96,레스토랑,104
99,연료,2
98,크림,86
100,코트,72
101,사료,14
102,노트북,106
103,양식,88
104,로고,101
105,샐러드,90
106,신발,25
107,디저트,143
108,그림책,91
109,메모리,53
111,비타민,84
110,펜,82
112,서바이벌,70
113,필름,37
114,도시락,41
115,렌즈,32
116,모니터,50
117,캔,29
118,컨디션,27
119,청소기,89
120,면섬유,136
122,농약,73
121,악기,72
123,베이스,76
124,화분,91
126,모형,17
125,소주,13
127,향수,43
128,표지,21
129,코어,62
130,약식,46
133,간식,71
132,징,63
135,축구공,68
131,치즈,74
134,피아노,92
136,트로피,80
137,책자,88
142,당면,2
141,둥지,24
139,드레스,69
138,수산물,12
140,음반,68
143,전광판,63
144,캐피탈,33
145,릴레이,42
147,메신저,5
146,잔,21
148,한식,93
149,양념,75
151,꽃다발,61
152,잎,11
150,필터,31
154,리무진,57
153,벤,44
156,선글라스,27
155,식량,10
157,초콜릿,75
160,강판,49
161,네트,37
159,안경,23
158,칵테일,90
162,교재,40
164,소고기,85
163,적금,14
168,기어,21
166,자재,14
167,잼,1
165,항암제,21
169,소파,46
170,플레이어,44
171,디바이스,6
172,렌터카,30
174,세단,64
173,정수기,74
175,이불,22
176,정장,34
177,클리닉,26
178,스테이크,59
180,넥타이,8
179,이스트,20
182,케이크,68
181,피자,52
185,모터,37
184,식초,11
183,프린터,53
187,냉면,70
186,파이,24
188,견과,33
189,스폰서,30
190,각도,20
191,먹,34
192,육수,84
193,바이올린,49
194,포트,33
195,프리즘,75
196,매트,30
197,젤리,66
200,스포츠카,69
199,연고,3
198,카트,25
201,가전제품,21
204,셔츠,45
203,식탁,17
202,원피스,63
205,농기계,20
208,머신,27
207,에어,11
206,울타리,9
210,간장,54
209,도어,24
211,매거진,68
212,설탕,29
213,홍삼,66
214,분유,26
216,돼지고기,51
215,소품,36
218,스프,41
217,축구단,51
219,비료,44
221,계란,1
220,상표,10
222,주스,15
224,베이커리,62
223,햄,2
225,메달,13
227,베드,21
226,분수,21
228,생리대,13
230,드라이버,42
231,목재,10
232,상품권,34
229,스킨,49
234,매직,41
233,유모차,15
235,복권,11
236,흑초,64
237,시제품,7
238,스틱,54
239,중고차,1
240,빙수,39
241,씨티,24
244,어벤져스,27
245,재킷,28
243,트렁크,43
242,후추,43
246,교구,38
247,글라스,54
248,잡화,31
252,떡,25
249,삼겹살,18
250,슈즈,48
251,지지대,46
254,공구,30
255,만두,27
253,매니지먼트,21
256,보드,29
257,그릴,46
260,마사지,14
258,목걸이,34
261,불고기,40
259,원재료,18
265,쌈,49
262,연습장,25
263,펀치,17
264,한지,14
271,감사패,47
272,로프,6
266,볶음밥,32
268,사은품,46
270,위스키,8
267,쫄면,52
269,첼로,29
273,캐리어,5
278,나초,8
277,레인지,42
275,밀가루,22
276,브라,22
274,활,15
279,기념품,23
280,껌,15
283,비빔밥,30
282,소형차,39
284,솜,32
281,스킨케어,44
290,다이오드,18
286,리뉴,36
289,민박,4
287,서예,13
288,어망,46
285,원자재,14
293,순대,37
292,파운데이션,33
291,한복,27
294,휠,27
298,강정,1
296,막걸리,30
297,보청기,22
295,에센스,38
299,침구,38
302,볼트,29
301,샴푸,25
300,에세이,6
304,대창,14
307,리프팅,28
303,버터,32
308,슈트,32
306,스낵,34
309,치맥,19
305,히터,16
313,그네,27
310,냄비,31
311,수영복,19
312,액세서리,28
314,커튼,15
315,갈비,5
321,공예품,36
319,국밥,26
316,남방,22
320,망원경,8
318,불상,8
317,전문지,6
325,수족관,23
323,제과,31
322,짬뽕,11
324,체크카드,28
327,원두,20
326,타코,28
328,파우더,26
331,닭고기,9
330,브런치,9
329,엠블럼,17
333,튀김,29
332,패드,25
335,보일러,26
336,블라인드,6
334,헤드셋,5
339,미용실,17
341,손톱,5
337,스탬프,31
338,연료전지,10
340,자가용,4
342,낙지,2
344,수트,20
346,오이선,34
345,장구,4
343,클레이,8
353,내비게이션,11
350,데스크,17
354,떡볶이,20
348,램프,29
352,막국수,23
351,워커,1
349,유토,17
355,중식,20
347,케이프,11
363,된장,2
357,보쌈,24
361,양말,13
362,전환기,6
359,젤,20
358,캔디,26
356,캡슐,16
360,코퍼레이션,20
365,방향제,29
367,불소,9
364,쌀국수,19
366,요트,12
368,주화,25
369,팔찌,19
373,니트,24
372,붓,16
371,샌들,20
374,소시지,15
376,유리창,2
375,천일염,30
370,파스타,18
377,문고,15
382,밑반찬,20
380,사이다,3
383,샌드,9
386,스티치,27
384,연사,15
381,칼국수,25
385,캔버스,13
379,포켓,31
378,현미,27
392,구급,8
393,도자기,5
395,바이크,24
394,성서,11
390,식혜,20
387,양념장,30
388,프라이팬,5
389,프로젝터,16
396,호미,14
391,휘슬,12
397,가슴살,19
402,변속기,15
401,샴페인,18
404,소갈비,27
400,아메리카노,12
399,에스프레소,27
398,필러,15
403,항아리,7
406,라이스,14
413,모종,6
405,묘목,12
409,부케,18
