"rank","item","purchase26","review26"
1,"kf94",975039,60965
2,"차량용무선충전거치대",52002,18438
3,"안마기",284611,78952
4,"스타벅스텀블러",10053,2995
5,"차량용핸드폰거치대",304466,90076
6,"식기건조대",234598,70239
7,"빨래건조대",535691,164199
8,"전자담배",242097,31542
9,"아이스박스",2246855,80832
10,"차량용방향제",923933,122075
11,"cctv",264528,34998
12,"텀블러",403140,71624
13,"차량용공기청정기",40858,14615
14,"칼리번",510,121
15,"제습제",398868,109122
16,"멀티탭",2007739,347325
17,"브라운체온계",153493,27859
18,"캣타워",40466,12327
19,"아이엠듀cg9",1,1
20,"코지마발마사지기",3003,657
21,"주방세제",709525,196644
22,"아이엠듀차량용충전기",4985,1497
23,"비데",384066,103915
24,"치약",1148535,297564
25,"음식물쓰레기통",111081,28396
26,"체중계",467611,130397
27,"방향제",2013775,266725
28,"안마의자",73711,27263
29,"옷걸이",2936186,274736
30,"통풍시트",228875,52925
31,"빨래바구니",67786,15962
32,"닥터독사료",0,0
33,"쿤달치약",75,44
34,"가정용분리수거함",22690,5144
35,"강아지우비",990,348
36,"고양이정수기",2778,920
37,"질레트면도날",82965,25083
38,"아스파이어avp",2710,399
39,"아이엠듀햇빛가리개",5,1
40,"리빙박스",1998730,261417
41,"아이엠듀차량용태블릿헤드레스트",37,13
42,"우리나라지도보기",1017,283
43,"포타맥스아이스박스",604,84
44,"아이엠듀차량용무선충전기",1,0
45,"원터치모기장",356003,82894
46,"아이엠듀차량용공기청정기",182,45
47,"a4용지",2892368,496418
48,"칼림바",2612,944
49,"디지털피아노",66050,18389
50,"바헤르츠차량용무선충전기",0,0
51,"바헤르츠듀얼차량용고속충전기",2,2
52,"아이엠듀c-11",0,0
53,"화분",1302823,268996
54,"스탠리텀블러",583,181
55,"드론",126275,22851
56,"수건",6649679,349329
57,"모기장",2813668,422629
58,"차량용휴대폰거치대",349206,103725
59,"차량용햇빛가리개",165837,41662
60,"물먹는하마",0,0
61,"예초기",260307,38654
62,"전자담배액상",184325,38489
63,"아이엠듀공기청정기",300,89
64,"손목보호대",320681,49775
65,"와이퍼",1255498,307589
66,"종이컵",3339163,630032
67,"아이엠듀차량용거치대",389,139
68,"강아지배변패드",311563,53889
69,"강아지집",82744,22674
70,"고양이화장실",152802,25529
71,"강아지계단",67107,10968
72,"수저세트",434927,49015
73,"차량용냉장고",15562,4102
74,"쓰레기통",474386,97852
75,"휴대폰거치대",490672,123254
76,"보드게임",279321,52312
77,"분리수거함",250133,55617
78,"라탄바구니",23434,3181
79,"몬스터엑스팟",164,30
80,"재활용분리수거함",226813,51071
81,"도마",143286,51455
82,"샤워기헤드",581232,148099
83,"독서대",219065,45526
84,"욕실선반",699364,158981
85,"다우니",548189,173835
86,"금고",81072,18036
87,"필통",64176,10052
88,"차량용선풍기",66246,17234
89,"무릎보호대",271279,59295
90,"차량방향제",721457,98434
91,"차량무선충전거치대",51756,18245
92,"그릇세트",130475,29962
93,"두루마리휴지",481491,97931
94,"발마사지기",56619,15743
95,"비치타올",122468,22045
96,"usb멀티탭",407818,66727
97,"수납정리함",2520727,358500
98,"다우니섬유유연제",477483,148872
99,"트렁크정리함",230091,57239
100,"강아지패드",1007144,195401
